,address,lat,lon
0,1800 N CALIFORNIA STREET STOCKTON CA,37.9698831,-121.2886669
1,215 MIMS ROAD SYLVANIA GA,32.750229,-81.64691599999999
2,451 WEST LOCKE STREET ASHDOWN AR,33.6691201,-94.1351439
3,"6401 PATTERSON PARKWAY, PO BOX 1107 ARKANSAS CITY KS",37.133018,-97.03839099999999
4,10841 WHITE OAK AVE RANCHO CUCAMONGA CA,34.1037678,-117.5665524
5,155 FIFTH STREET NE BARBERTON OH,41.0148045,-81.5894562
6,99 BEAUVOIR AVENUE SUMMIT NJ,40.7121248,-74.3536189
7,301 2ND STREET NE NEW PRAGUE MN,44.546252,-93.5744543
8,2390 WEST CONGRESS ST LAFAYETTE LA,30.2171619,-92.0464557
9,133 PARK STREET MALONE NY,44.8572186,-74.2915929
10,1945 RTE 33 NEPTUNE NJ,40.209231,-74.0412255
11,25 JACOBS GULCH RD KELLOGG ID,47.5464415,-116.1307331
12,200 MAY STREET ATTLEBORO MA,41.9244355,-71.3603936
13,3675 KILAUEA AVENUE HONOLULU HI,21.2732487,-157.8016034
14,1200 MEMORIAL DRIVE DALTON GA,34.78988460000001,-84.984842
15,224 EAST SECOND STREET DUMAS TX,35.8645507,-101.9706511
16,701 N FIRST ST SPRINGFIELD IL,39.8097674,-89.6569059
17,107 6TH AVE SW RONAN MT,47.5286616,-114.1069355
18,2305 CHAMBLISS AVENUE NW CLEVELAND TN,35.1773473,-84.86933429999999
19,12605 E 16TH AVE AURORA CO,39.7421861,-104.8407579
20,700 LAWN AVENUE SELLERSVILLE PA,40.36311329999999,-75.32645939999999
21,4021 AVE B SCOTTSBLUFF NE,41.88704200000001,-103.6646734
22,2018 PULLIAM STREET SAN ANGELO TX,31.4722169,-100.4032359
23,3458 NEELY ROAD JB MDL NJ,40.0321633,-74.6146976
24,5190 SW 8TH ST CORAL GABLES FL,25.7636669,-80.2789099
25,"250 HOSPITAL DR, PO BOX 1817 LEXINGTON NC",35.8060782,-80.2866603
26,222 RICHMOND AVE BATAVIA NY,43.01353839999999,-78.1976681
27,"4755 OGLETOWN-STANTON RD, PO BOX 6001 NEWARK DE",39.6874181,-75.67033719999999
28,901 N PORTER NORMAN OK,35.2301496,-97.43914960000001
29,1 ST JOSEPHS DRIVE CENTERVILLE IA,40.7557317,-92.8570527
30,3351 WATERVIEW PARKWAY RICHARDSON TX,32.997903,-96.7543445
31,655 EAST JERSEY STREET ELIZABETH NJ,40.6591551,-74.1976632
32,999 SAN BERNARDINO ROAD UPLAND CA,34.101896,-117.637482
33,11300 US HWY 19 N CLEARWATER FL,27.87487,-82.710948
34,25500 MEDICAL CENTER DR MURRIETA CA,33.5590999,-117.1839646
35,1800 SPRING RIDGE DR SUSANVILLE CA,40.4367472,-120.6280121
36,401 S BALLENGER HWY FLINT MI,43.01440350000001,-83.7323601
37,257 W ST GEORGE AVE GRANTSBURG WI,45.7746807,-92.6867177
38,812 NORTH LOGAN AVE DANVILLE IL,40.1390812,-87.64367999999999
39,795 MIDDLE STREET FALL RIVER MA,41.6929483,-71.16332539999999
40,4401 SOUTH WESTERN AVENUE OKLAHOMA CITY OK,35.4221999,-97.53343989999999
41,1805 MEDICAL CENTER DR SAN BERNARDINO CA,34.1313185,-117.3209714
42,220 HIGHWAY 12 WEST KOSCIUSKO MS,33.0663109,-89.5882551
43,600 GRESHAM DRIVE NORFOLK VA,36.86261289999999,-76.3046916
44,"1700 NORTH VICTORY RD, PO BOX 1209 NORFOLK NE",42.0509278,-97.3855279
45,1260 UNIVERSITY AVENUE SEWANEE TN,35.2077234,-85.91378320000001
46,1968 PEACHTREE RD NW ATLANTA GA,33.808487,-84.39535049999999
47,7571 STATE ROUTE 54 BATH NY,42.3743181,-77.278857
48,1910 SOUTH AVE LA CROSSE WI,43.7943593,-91.2482203
49,2700 SE STRATUS AVE MCMINNVILLE OR,45.198904,-123.1648533
50,81 LOUDEN AVENUE AMITYVILLE NY,40.6846092,-73.4214741
51,1451 EL CAMINO REAL THE VILLAGES FL,28.9504017,-81.9584252
52,650 W TAYLOR ST VANDALIA IL,38.9696987,-89.09866099999999
53,901 GRIFFIN AVE EASTMAN GA,32.1855606,-83.17779589999999
54,227 BABCOCK STREET BROOKLINE MA,42.3507761,-71.1212243
55,1 SISKIN PLAZA CHATTANOOGA TN,35.0503618,-85.2911606
56,2400 E 4TH ST NATIONAL CITY CA,32.6853667,-117.0820744
57,520 S. EAGLE ROAD MERIDIAN ID,43.5994634,-116.3525782
58,4199 MILL POND DRIVE HIGHLAND HILLS OH,41.4503724,-81.52236309999999
59,"200 WEST HOSPITAL DRIVE, PO BOX 860 WHITERIVER AZ",33.8770568,-109.9592459
60,1717 ARLINGTON ST CALDWELL ID,43.654411,-116.6946743
61,300 KINGWOOD MEDICAL DRIVE KINGWOOD TX,30.0482208,-95.2587459
62,24100 S. ROCKERVILLE RD. RAPID CITY SD,43.9092188,-103.3775922
63,238 CIBEQUE CIRCLE SAN CARLOS AZ,33.3531689,-110.452572
64,23515 HIGHWAY 190 MANDEVILLE LA,30.3472427,-90.0181453
65,2000 SOUTH PALESTINE STREET ATHENS TX,32.1697293,-95.8474591
66,1815 S 31ST ST TEMPLE TX,31.0823227,-97.3624176
67,283 SOUTH BUTLER ROAD MT GRETNA PA,40.268259,-76.4637647
68,7950 MARTIN LOOP FORT BENNING GA,32.3735979,-84.9284802
69,400 NORTH BROWN AVENUE HAMILTON TX,31.7032331,-98.1140379
70,3535 S NATIONAL AVE SPRINGFIELD MO,37.1505029,-93.2788204
71,1515 SOUTH PHILLIPS ALGONA IA,43.056311,-94.22554629999999
72,809 W CHURCH STREET CHAMPAIGN IL,40.1178094,-88.25723149999999
73,"2233 STATE ROUTE 86, PO BOX 471 SARANAC LAKE NY",44.3456357,-74.1434708
74,2000 EOFF STREET WHEELING WV,40.0606184,-80.7219614
75,3801 NORTH LAMAR AUSTIN TX,30.3058537,-97.7410337
76,300 ROCKEFELLER DRIVE MUSKOGEE OK,35.7526359,-95.40589949999999
77,713 OAK ST SUNDANCE WY,44.4089037,-104.3740012
78,7300 VAN DUSEN ROAD LAUREL MD,39.0869842,-76.8812842
79,83 W MILLER ST ORLANDO FL,28.5245672,-81.37933699999999
80,150 PIONEER LN BISHOP CA,37.3619709,-118.4061853
81,2900 DOOLITTLE DRIVE ELLSWORTH AFB SD,44.1473989,-103.0726056
82,1700 NORTH WHEELING STREET AURORA CO,39.7414833,-104.830031
83,1100 TUNNEL ROAD ASHEVILLE NC,35.5883602,-82.48414509999999
84,196 COLONIAL DRIVE YOUNGSTOWN OH,41.1380814,-80.663167
85,500 STATE HOSPITAL DRIVE OSAWATOMIE KS,38.5101213,-94.94003289999999
86,7000 COBBLE CREEK DR PENSACOLA FL,30.4790369,-87.2149096
87,1400 LINDBERG DRIVE SLIDELL LA,30.2808776,-89.7537632
88,1090 ARNOLD DRIVE LITTLE ROCK AFB AR,34.8955472,-92.1499572
89,"CALLE PROFESOR AUGUSTO RODRIGUEZ, SUITE 1462 FERNANDEZ JUNCOS PR",18.4448133,-66.0691948
90,1400 NOYES STREET UTICA NY,43.1032063,-75.2603934
91,145 MEMORIAL DRIVE BROKEN BOW NE,41.4094623,-99.63187309999999
92,"5262 WOODS RD, PO BOX 800 CAMBRIDGE MD",38.54001,-76.065389
93,1320 WEST MAIN STREET NEWARK OH,40.0482907,-82.45022589999999
94,3700 SOUTH ST LAKEWOOD CA,33.8596883,-118.1482913
95,"16000 SOUTHWEST FREEWAY, SUITE 100 SUGAR LAND TX",29.5981762,-95.62424659999999
96,400 EAST 1ST STREET MORRIS MN,45.5850735,-95.904878
97,2 PROGRESS POINT PKWY O'FALLON MO,38.71636549999999,-90.6992889
98,7171 SOUTH 51ST AVENUE LAVEEN AZ,33.380767,-112.166999
99,118 SOUTH MOUNTAIN AVENUE SPRINGERVILLE AZ,34.1316637,-109.2854705
